metric,contrast,raw_coef,raw_ci_low,raw_ci_high,raw_p,adj_coef,adj_ci_low,adj_ci_high,adj_p,shrinkage_pct,n_templates,source
ftle_final,coding - factual,-0.005219087342128698,-0.006188301354967545,-0.00424987332928985,4.860550483531857e-26,-0.0052190873421287046,-0.006197910389376478,-0.004240264294880931,1.4570300581487533e-25,-1.3322676295501878e-13,453,legacy
ftle_final,hallucination_prone - factual,-0.0037516503869676693,-0.004708588523528315,-0.0027947122504070232,1.5421302584333978e-14,-0.003751650386967599,-0.004706195385655366,-0.002797105388279832,1.3264752606076969e-14,1.8762769116165146e-12,453,legacy
ftle_final,reasoning - factual,-0.008731332698104034,-0.010260109567915652,-0.007202555828292416,4.3639580286197313e-29,-0.008731332698104003,-0.010282821237221854,-0.007179844158986151,2.7351386644174133e-28,3.552713678800501e-13,453,legacy
expansive_frac,coding - factual,-0.005786290322579977,-0.010692682210309319,-0.0008798984348506352,0.02080754960483753,-0.0057862903225799935,-0.010649140627834838,-0.0009234400173251493,0.0196925387126271,-2.886579864025407e-13,453,legacy
expansive_frac,hallucination_prone - factual,0.008447580645161587,0.0040240480340131045,0.01287111325631007,0.00018189003654358615,0.008447580645161611,0.003992991117633051,0.012902170172690172,0.00020173775995016197,-2.886579864025407e-13,453,legacy
expansive_frac,reasoning - factual,-0.009838709677418341,-0.01525360945239963,-0.004423809902437054,0.0003691700944495797,-0.009838709677417628,-0.015135979702886371,-0.004541439651948884,0.0002723476115219652,7.249756350802272e-12,453,legacy
entropy,coding - factual,0.16772783592341872,-0.0424873067119734,0.37794297855881087,0.11785775276260323,0.16772783592341894,-0.03684162506291383,0.3722972969097517,0.10805716282679872,-1.3322676295501878e-13,453,legacy
entropy,hallucination_prone - factual,1.240822752863154,1.0624685271408882,1.4191769785854196,2.4594015359494438e-42,1.2408227528631555,1.0551912416796378,1.426454264046673,3.2472926934232196e-39,-1.3322676295501878e-13,453,legacy
entropy,reasoning - factual,1.4120646764337899,1.1777645559770868,1.6463647968904929,3.376781741381245e-32,1.412064676433792,1.1646258400610123,1.6595035128065718,4.8306993232958194e-29,-1.5543122344752192e-13,453,legacy
top1_prob,coding - factual,-0.07613229032605473,-0.12369118017692064,-0.028573400475188818,0.0017038879439219795,-0.07613229032605484,-0.12303409907577523,-0.029230481576334455,0.0014653131991239079,-1.5543122344752192e-13,453,legacy
top1_prob,hallucination_prone - factual,-0.276408952362832,-0.3178933878498847,-0.23492451687577937,5.635122514662927e-39,-0.27640895236283247,-0.3186498017329219,-0.23416810299274304,1.1832673331390786e-37,-1.5543122344752192e-13,453,legacy
top1_prob,reasoning - factual,-0.3080753677710856,-0.3559731852716539,-0.26017755027051725,1.9480945011448253e-36,-0.30807536777108585,-0.35881639487214156,-0.25733434067003014,1.1839180071400405e-32,-8.881784197001252e-14,453,legacy
sigma_max,coding - factual,-97.31400742947518,-239.2200888950847,44.59207403613432,0.17892519878072544,-97.31400742947463,-239.2213438672551,44.59332900830583,0.17892904215325212,5.662137425588298e-13,102,spectral
sigma_max,hallucination_prone - factual,-340.2411744892055,-470.4201676578928,-210.06218132051816,3.012831828362582e-07,-340.24117448920526,-470.14486372614385,-210.33748525226667,2.8440466746923854e-07,6.661338147750939e-14,102,spectral
sigma_max,reasoning - factual,-468.2546715239314,-707.8476207711456,-228.66172227671723,0.0001278798801054069,-468.25467152393094,-708.0521962971761,-228.4571467506857,0.00012958899846174236,9.992007221626409e-14,102,spectral
lambda_max,coding - factual,-0.0017709012579641018,-0.004411798246094651,0.0008699957301664481,0.1887488626231142,-0.0017709012579640291,-0.00440929492792822,0.0008674924120001619,0.1883297209280208,4.096722960866828e-12,102,spectral
lambda_max,hallucination_prone - factual,-0.006813449737128658,-0.009263692656556022,-0.004363206817701293,5.033605789997872e-08,-0.006813449737128525,-0.00925656440324849,-0.00437033507100856,4.602498094981055e-08,1.942890293094024e-12,102,spectral
lambda_max,reasoning - factual,-0.01044520239382391,-0.015623404217573423,-0.0052670005700743965,7.700385236936299e-05,-0.01044520239382387,-0.015604247913998384,-0.005286156873649356,7.241188985434435e-05,3.774758283725532e-13,102,spectral
lambda_bulk_pred,coding - factual,-0.0022507652255656435,-0.0037137535551386314,-0.0007877768959926555,0.0025668464870626725,-0.0022507652255656196,-0.0037266166570843625,-0.0007749137940468768,0.002798307816353932,1.0547118733938987e-12,102,spectral
lambda_bulk_pred,hallucination_prone - factual,-0.0007421885282328128,-0.0021267163211424623,0.0006423392646768366,0.2934164943492017,-0.0007421885282328015,-0.0021636240312634543,0.0006792469747978512,0.30613016700983087,1.5210055437364645e-12,102,spectral
lambda_bulk_pred,reasoning - factual,-0.008214440605803727,-0.010522308320047094,-0.005906572891560359,3.0340089956654796e-12,-0.008214440605803711,-0.010309225429594136,-0.006119655782013286,1.5209460400984948e-14,1.887379141862766e-13,102,spectral
stable_rank,coding - factual,-0.2514693676353758,-0.7933094326128434,0.2903706973420918,0.36302066525233834,-0.2514693676353749,-0.7928255218167242,0.2898867865459744,0.36259186747485406,3.552713678800501e-13,102,spectral
stable_rank,hallucination_prone - factual,1.7389015065668887,1.2052800411233975,2.27252297201038,1.692876726047924e-10,1.7389015065668914,1.2058967485295686,2.271906264604214,1.6130033778776758e-10,-1.5543122344752192e-13,102,spectral
stable_rank,reasoning - factual,0.5369391069159999,-0.376175744122624,1.4500539579546237,0.24910827312993922,0.5369391069159994,-0.39095926575275086,1.4648374795847499,0.2567292051484452,7.771561172376096e-14,102,spectral
spectral_gap,coding - factual,0.05690860096388539,-0.0014571171424645965,0.11527431907023539,0.056000351375859486,0.05690860096388559,-0.0017581331884350682,0.11557533511620625,0.05727222056149056,-3.552713678800501e-13,102,spectral
spectral_gap,hallucination_prone - factual,0.1190319224464699,0.06329240369142705,0.17477144120151275,2.8452726368031825e-05,0.11903192244646998,0.06297077458165498,0.175093070311285,3.161685883180157e-05,-6.661338147750939e-14,102,spectral
spectral_gap,reasoning - factual,0.10074206758529314,0.03161421621801308,0.1698699189525732,0.0042859153715550805,0.10074206758529314,0.03463128571395063,0.16685284945663564,0.0028203767498493153,0.0,102,spectral
chi_fisher_max,coding - factual,3.2437593253379404,-4.683485505285415,11.171004155961295,0.4225528781230544,3.2437593253379515,-4.607045280747673,11.094563931423577,0.41805001590307567,-3.3306690738754696e-13,102,spectral
chi_fisher_max,hallucination_prone - factual,-8.061197664138794,-15.174854201653702,-0.9475411266238867,0.026348810385845564,-8.061197664138778,-15.03744235648,-1.0849529717975566,0.023526204111809373,1.9984014443252818e-13,102,spectral
chi_fisher_max,reasoning - factual,-13.787882639008998,-20.79923921009852,-6.776526067919475,0.0001160692123510505,-13.787882639008991,-20.691292332621764,-6.884472945396221,9.05723712965385e-05,5.551115123125783e-14,102,spectral
chi_fisher_along_hidden_lead,coding - factual,7.293700437393979,-0.8080083311808464,15.395409205968804,0.07764939154719663,7.293700437393988,-0.6715420891586303,15.258942963946605,0.07269812017506234,-1.1102230246251565e-13,102,spectral
chi_fisher_along_hidden_lead,hallucination_prone - factual,-4.180521115396451,-11.377895725454323,3.0168534946614205,0.25494308114202446,-4.180521115396443,-11.140176904288968,2.779134673496082,0.23907188495411102,1.887379141862766e-13,102,spectral
chi_fisher_along_hidden_lead,reasoning - factual,-8.938376833480085,-15.859139010651441,-2.0176146563087283,0.011362321918177645,-8.938376833480078,-16.110322668718727,-1.7664309982414288,0.014577936549983433,7.771561172376096e-14,102,spectral
lead_alignment,coding - factual,0.18614280454234838,0.08496178710062562,0.28732382198407114,0.00031125576722172856,0.18614280454234872,0.0875538153059418,0.2847317937787556,0.00021513518832958224,-1.7763568394002505e-13,102,spectral
lead_alignment,hallucination_prone - factual,0.1204616242308166,-0.0004056684248405773,0.2413289168864738,0.050773905538378336,0.12046162423081683,0.0028236039503092836,0.23809964451132437,0.04474881369492623,-1.7763568394002505e-13,102,spectral
lead_alignment,reasoning - factual,0.15025182498316325,0.04091799166189018,0.2595856583044363,0.007071102360102122,0.15025182498316333,0.031789450545968975,0.2687141994203577,0.012921645905190916,-4.440892098500626e-14,102,spectral
entropy,coding - factual,0.8546318598091612,0.47647464153216007,1.2327890780861623,9.445150403943513e-06,0.8546318598091622,0.4727055430566867,1.2365581765616378,1.1556690390210684e-05,-1.1102230246251565e-13,102,spectral
entropy,hallucination_prone - factual,1.0216639526188382,0.7091148143572125,1.3342130908804641,1.4865314711480743e-10,1.0216639526188391,0.7043707359501046,1.3389571692875737,2.7731126401699257e-10,-8.881784197001252e-14,102,spectral
entropy,reasoning - factual,1.2316759295761606,0.8245677778652699,1.638784081287051,3.0343755725813333e-09,1.2316759295761601,0.8362410198675811,1.627110839284739,1.0294672108993254e-09,3.3306690738754696e-14,102,spectral
top1_prob,coding - factual,-0.17867038249969552,-0.27027111155029776,-0.08706965344909329,0.00013184988126957253,-0.17867038249969538,-0.27052265915213225,-0.08681810584725849,0.00013756392528255077,7.771561172376096e-14,102,spectral
top1_prob,hallucination_prone - factual,-0.2336620464921002,-0.31317471279781556,-0.15414938018638485,8.426298908435368e-09,-0.23366204649209998,-0.31313210191846536,-0.1541919910657346,8.273499115359471e-09,9.992007221626409e-14,102,spectral
top1_prob,reasoning - factual,-0.24508250411599922,-0.34735365965893356,-0.14281134857306488,2.6419668627976803e-06,-0.24508250411599902,-0.3446262905537879,-0.14553871767821014,1.3962191685471614e-06,7.771561172376096e-14,102,spectral
