metric,label_a,label_b,n_a,n_b,mean_a,mean_b,diff,cohens_d,cliffs_delta,perm_p,perm_p_holm
lambda_max,factual,coding,40,40,0.2397491668615178,0.23797826560355384,0.0017709012579639472,0.33237142098865713,0.16500000000000004,0.13808619138086192,0.13808619138086192
lambda_max,factual,reasoning,40,40,0.2397491668615178,0.2293039644676939,0.010445202393823877,1.7552653167183894,0.80375,9.999000099990002e-05,0.0005999400059994001
lambda_max,factual,hallucination_prone,40,40,0.2397491668615178,0.23293571712438926,0.006813449737128524,1.4747302745467987,0.7024999999999999,9.999000099990002e-05,0.0005999400059994001
lambda_max,coding,reasoning,40,40,0.23797826560355384,0.2293039644676939,0.00867430113585993,1.53419394422086,0.7337499999999999,9.999000099990002e-05,0.0005999400059994001
lambda_max,coding,hallucination_prone,40,40,0.23797826560355384,0.23293571712438926,0.005042548479164577,1.1918122020987214,0.61625,9.999000099990002e-05,0.0005999400059994001
lambda_max,reasoning,hallucination_prone,40,40,0.2293039644676939,0.23293571712438926,-0.003631752656695353,-0.7274471324254919,-0.65625,0.0014998500149985001,0.0029997000299970002
