metric,label_a,label_b,n_a,n_b,mean_a,mean_b,diff,cohens_d,cliffs_delta,perm_p,perm_p_holm
sigma_max,factual,coding,40,40,1715.4041964787216,1618.0901890492473,97.31400742947426,0.34487590427868886,0.16500000000000004,0.12618738126187382,0.12618738126187382
sigma_max,factual,reasoning,40,40,1715.4041964787216,1247.149524954791,468.2546715239305,1.5810532126306995,0.80375,9.999000099990002e-05,0.0005999400059994001
sigma_max,factual,hallucination_prone,40,40,1715.4041964787216,1375.1630219895167,340.2411744892049,1.3962910605306773,0.7024999999999999,9.999000099990002e-05,0.0005999400059994001
sigma_max,coding,reasoning,40,40,1618.0901890492473,1247.149524954791,370.9406640944562,1.3881115110840092,0.7337499999999999,9.999000099990002e-05,0.0005999400059994001
sigma_max,coding,hallucination_prone,40,40,1618.0901890492473,1375.1630219895167,242.92716705973066,1.1705029253261732,0.61625,9.999000099990002e-05,0.0005999400059994001
sigma_max,reasoning,hallucination_prone,40,40,1247.149524954791,1375.1630219895167,-128.01349703472556,-0.5659266164070621,-0.65625,0.0117988201179882,0.0235976402359764
