metric,label_a,label_b,n_a,n_b,mean_a,mean_b,diff,cohens_d,cliffs_delta,perm_p,perm_p_holm
lead_alignment,factual,coding,40,40,0.7179603462875105,0.9041031508298587,-0.18614280454234822,-0.8524108701096174,-0.37625,0.00039996000399960006,0.0023997600239976003
lead_alignment,factual,reasoning,40,40,0.7179603462875105,0.8682121712706735,-0.15025182498316303,-0.6969267208839004,-0.05125000000000002,0.0017998200179982,0.008999100089991
lead_alignment,factual,hallucination_prone,40,40,0.7179603462875105,0.8384219705183271,-0.12046162423081663,-0.4874502037780434,-0.09125000000000005,0.031796820317968204,0.10358964103589641
lead_alignment,coding,reasoning,40,40,0.9041031508298587,0.8682121712706735,0.03589097955918519,0.5060478098858201,0.39874999999999994,0.025897410258974102,0.10358964103589641
lead_alignment,coding,hallucination_prone,40,40,0.9041031508298587,0.8384219705183271,0.06568118031153158,0.468893212358125,0.3162499999999999,0.03569643035696431,0.10358964103589641
lead_alignment,reasoning,hallucination_prone,40,40,0.8682121712706735,0.8384219705183271,0.029790200752346396,0.2195262724632568,-0.13749999999999996,0.3364663533646635,0.3364663533646635
