metric,label_a,label_b,n_a,n_b,mean_a,mean_b,diff,cohens_d,cliffs_delta,perm_p,perm_p_holm
stable_rank,factual,coding,40,40,4.375579825885461,4.124110458250085,0.25146936763537564,0.2230441150952018,0.16874999999999996,0.31986801319868013,0.31986801319868013
stable_rank,factual,reasoning,40,40,4.375579825885461,4.91251893280146,-0.536939106915999,-0.44782913181811473,-0.27,0.051994800519948,0.103989601039896
stable_rank,factual,hallucination_prone,40,40,4.375579825885461,6.11448133245235,-1.7389015065668891,-1.594383182120915,-0.75375,9.999000099990002e-05,0.0005999400059994001
stable_rank,coding,reasoning,40,40,4.124110458250085,4.91251893280146,-0.7884084745513746,-0.8014739913515667,-0.49,0.0006999300069993001,0.0020997900209979003
stable_rank,coding,hallucination_prone,40,40,4.124110458250085,6.11448133245235,-1.9903708742022648,-2.3463194199703716,-0.88875,9.999000099990002e-05,0.0005999400059994001
stable_rank,reasoning,hallucination_prone,40,40,4.91251893280146,6.11448133245235,-1.2019623996508901,-1.276924276613294,-0.6525000000000001,9.999000099990002e-05,0.0005999400059994001
