label,mean_entropy,mean_top1_prob,mean_sigma_max,mean_stable_rank,mean_spectral_gap,mean_chi_fisher_max,mean_lambda_bulk_pred,mean_lambda_max,diff_entropy,diff_top1_prob,diff_sigma_max,diff_stable_rank,diff_spectral_gap,diff_chi_fisher_max,diff_lambda_bulk_pred,diff_lambda_max
factual,2.5203205458819866,0.4481526754796505,1715.4041964787211,4.37557982588546,0.6323428733997654,31.651295324604185,0.09386084487676036,0.23974916686151784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coding,3.374952405691147,0.26948229297995563,1618.0901890492473,4.124110458250085,0.6892514743636509,34.895054649942146,0.09161007965119476,0.23797826560355384,0.8546318598091602,-0.17867038249969486,-97.3140074294738,-0.25146936763537475,0.0569086009638855,3.2437593253379617,-0.0022507652255655958,-0.0017709012579640027
reasoning,3.751996475458145,0.2030701713636517,1247.149524954791,4.91251893280146,0.7330849409850584,17.863412685595218,0.08564640427095667,0.2293039644676939,1.2316759295761583,-0.24508250411599877,-468.25467152393,0.5369391069159999,0.10074206758529303,-13.787882639008966,-0.008214440605803688,-0.010445202393823932
hallucination_prone,3.541984498500824,0.2144906289875507,1375.1630219895167,6.114481332452349,0.7513747958462355,23.590097660465414,0.09311865634852759,0.23293571712438926,1.0216639526188374,-0.2336620464920998,-340.24117448920447,1.7389015065668891,0.1190319224464701,-8.06119766413877,-0.0007421885282327678,-0.00681344973712858
