metric,label_a,label_b,n_a,n_b,mean_a,mean_b,diff,cohens_d,cliffs_delta,perm_p,perm_p_holm
entropy,factual,coding,200,200,2.3136434100568293,2.4813712459802626,-0.16772783592343332,-0.1913916732517457,-0.03025,0.055194480551944806,0.055194480551944806
entropy,factual,reasoning,200,200,2.3136434100568293,3.725708086490631,-1.4120646764338018,-2.014250384683093,-0.8744000000000001,9.999000099990002e-05,0.0005999400059994001
entropy,factual,hallucination_prone,200,200,2.3136434100568293,3.554466162919998,-1.2408227528631688,-1.8288423200312391,-0.8346,9.999000099990002e-05,0.0005999400059994001
entropy,coding,reasoning,200,200,2.4813712459802626,3.725708086490631,-1.2443368405103685,-1.838003624118006,-0.7322,9.999000099990002e-05,0.0005999400059994001
entropy,coding,hallucination_prone,200,200,2.4813712459802626,3.554466162919998,-1.0730949169397355,-1.6417904615483176,-0.66545,9.999000099990002e-05,0.0005999400059994001
entropy,reasoning,hallucination_prone,200,200,3.725708086490631,3.554466162919998,0.17124192357063306,0.4411789628966339,0.2892999999999999,9.999000099990002e-05,0.0005999400059994001
