scope,n,mean_ftle_final,mean_lambda_bulk_pred,median_rel_err,pearson_r
overall,160,0.09020136532210021,0.09105899628685984,0.018553471163676886,0.8768231450256315
factual,40,0.09300098939022791,0.09386084487676036,0.016575626430810363,0.8310270453796486
coding,40,0.09042091064736392,0.09161007965119476,0.020255892214767014,0.7949719320031744
reasoning,40,0.08472416985447043,0.08564640427095667,0.02102458052132635,0.5889593192296473
hallucination_prone,40,0.09265939139633854,0.09311865634852759,0.015029617281619357,0.7945955216896752
