label,mean_entropy,mean_top1_prob,mean_sigma_max,mean_stable_rank,mean_spectral_gap,mean_chi_fisher_max,mean_lambda_bulk_pred,mean_lambda_max,diff_entropy,diff_top1_prob,diff_sigma_max,diff_stable_rank,diff_spectral_gap,diff_chi_fisher_max,diff_lambda_bulk_pred,diff_lambda_max
factual,2.5203205458819866,0.4481526754796505,79.46580048133283,4.258017167402376,0.7960816017197627,31.651295324604185,-0.005230125939439388,0.136297311344249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coding,3.374952405691147,0.26948229297995563,87.72643805190918,3.561540647365993,0.7679075387557697,34.895054649942146,-0.0051469555665576575,0.13908136182927372,0.8546318598091602,-0.17867038249969486,8.26063757057635,-0.6964765200363829,-0.028174062963993052,3.2437593253379617,8.31703728817303e-05,0.002784050485024725
reasoning,3.751996475458145,0.2030701713636517,72.00827290238719,3.8744104254418916,0.737494531760176,17.863412685595218,-0.009905231258881078,0.13291000685636384,1.2316759295761583,-0.24508250411599877,-7.457527578945644,-0.3836067419604845,-0.058587069959586735,-13.787882639008966,-0.004675105319441691,-0.0033873044878851566
hallucination_prone,3.541984498500824,0.2144906289875507,74.52512289548851,4.8697104723423,0.8240974488039413,23.590097660465414,-0.004626883004660845,0.13451616679772704,1.0216639526188374,-0.2336620464920998,-4.940677585844327,0.6116933049399238,0.02801584708417859,-8.06119766413877,0.0006032429347785431,-0.001781144546521951
