metric,label_a,label_b,n_a,n_b,mean_a,mean_b,diff,cohens_d,cliffs_delta,perm_p,perm_p_holm
entropy,factual,coding,40,40,2.5203205458819866,3.374952405691147,-0.8546318598091602,-1.069895352975251,-0.54375,9.999000099990002e-05,0.0005999400059994001
entropy,factual,reasoning,40,40,2.5203205458819866,3.751996475458145,-1.2316759295761583,-1.938315030214145,-0.78625,9.999000099990002e-05,0.0005999400059994001
entropy,factual,hallucination_prone,40,40,2.5203205458819866,3.541984498500824,-1.0216639526188374,-1.6460194182889873,-0.71,9.999000099990002e-05,0.0005999400059994001
entropy,coding,reasoning,40,40,3.374952405691147,3.751996475458145,-0.3770440697669981,-0.6503078632014707,-0.28374999999999995,0.0045995400459954,0.0091990800919908
entropy,coding,hallucination_prone,40,40,3.374952405691147,3.541984498500824,-0.16703209280967712,-0.2963715413725524,-0.05125000000000002,0.19368063193680632,0.19368063193680632
entropy,reasoning,hallucination_prone,40,40,3.751996475458145,3.541984498500824,0.210011976957321,0.7275055913805178,0.36749999999999994,0.0024997500249975004,0.007499250074992501
