scope,n,mean_ftle_final,mean_lambda_bulk_pred,median_rel_err,pearson_r
overall,160,0.09277620095515816,0.09403328444693997,0.03270297046147905,0.7945099301811208
factual,40,0.09404723277509391,0.09618977274844541,0.031711946023899845,0.902794123780597
coding,40,0.09020866130680624,0.09168363054139614,0.017855347682086867,0.7272402793026216
reasoning,40,0.09016783684526064,0.09078755409241236,0.03942606468572159,0.591409461647854
hallucination_prone,40,0.09668107289347184,0.09747218040550595,0.03587892789125756,0.5905326585872331
