metric,label_a,label_b,n_a,n_b,mean_a,mean_b,diff,cohens_d,cliffs_delta,perm_p,perm_p_holm
sigma_max,factual,coding,40,40,914.6705300939499,704.2506531954939,210.41987689845598,1.118183110476224,0.665,9.999000099990002e-05,0.0005999400059994001
sigma_max,factual,reasoning,40,40,914.6705300939499,717.3131088391121,197.35742125483773,1.084193051024496,0.6625000000000001,9.999000099990002e-05,0.0005999400059994001
sigma_max,factual,hallucination_prone,40,40,914.6705300939499,865.3405744442807,49.32995564966916,0.22414960034637707,0.10499999999999998,0.32296770322967705,0.6459354064593541
sigma_max,coding,reasoning,40,40,704.2506531954939,717.3131088391121,-13.06245564361825,-0.15742885267605683,-0.22499999999999998,0.4824517548245176,0.6459354064593541
sigma_max,coding,hallucination_prone,40,40,704.2506531954939,865.3405744442807,-161.08992124878682,-1.081589047515887,-0.5587500000000001,9.999000099990002e-05,0.0005999400059994001
sigma_max,reasoning,hallucination_prone,40,40,717.3131088391121,865.3405744442807,-148.02746560516857,-1.0491721508729221,-0.47624999999999995,9.999000099990002e-05,0.0005999400059994001
