metric,label_a,label_b,n_a,n_b,mean_a,mean_b,diff,cohens_d,cliffs_delta,perm_p,perm_p_holm
chi_fisher_max,factual,coding,40,40,1110.9471525879922,1330.0067657539967,-219.0596131660045,-0.2601262277490073,-0.28500000000000003,0.24767523247675233,0.24767523247675233
chi_fisher_max,factual,reasoning,40,40,1110.9471525879922,2045.1515624568092,-934.204409868817,-0.9779934828023779,-0.58125,0.00019998000199980003,0.0007999200079992001
chi_fisher_max,factual,hallucination_prone,40,40,1110.9471525879922,2848.84530094674,-1737.8981483587477,-0.983456830343562,-0.6387499999999999,9.999000099990002e-05,0.0005999400059994001
chi_fisher_max,coding,reasoning,40,40,1330.0067657539967,2045.1515624568092,-715.1447967028125,-0.9401280517684228,-0.46125000000000005,0.00019998000199980003,0.0007999200079992001
chi_fisher_max,coding,hallucination_prone,40,40,1330.0067657539967,2848.84530094674,-1518.8385351927432,-0.9094764431425865,-0.5075000000000001,9.999000099990002e-05,0.0005999400059994001
chi_fisher_max,reasoning,hallucination_prone,40,40,2045.1515624568092,2848.84530094674,-803.6937384899306,-0.46461537161331634,-0.1925,0.029897010298970104,0.05979402059794021
