metric,label_a,label_b,n_a,n_b,mean_a,mean_b,diff,cohens_d,cliffs_delta,perm_p,perm_p_holm
top1_prob,factual,coding,40,40,0.8031528949737549,0.42052297927439214,0.3826299156993627,2.3212870563098544,0.8587499999999999,9.999000099990002e-05,0.0005999400059994001
top1_prob,factual,reasoning,40,40,0.8031528949737549,0.6589414961636066,0.14421139881014822,0.8780104951635365,0.51,0.00029997000299970003,0.0005999400059994001
top1_prob,factual,hallucination_prone,40,40,0.8031528949737549,0.41656792126595976,0.3865849737077951,2.393414915378384,0.8612500000000001,9.999000099990002e-05,0.0005999400059994001
top1_prob,coding,reasoning,40,40,0.42052297927439214,0.6589414961636066,-0.2384185168892145,-1.9300623027841122,-0.82125,9.999000099990002e-05,0.0005999400059994001
top1_prob,coding,hallucination_prone,40,40,0.42052297927439214,0.41656792126595976,0.003955058008432377,0.03299227738098966,0.014999999999999902,0.8899110088991101,0.8899110088991101
top1_prob,reasoning,hallucination_prone,40,40,0.6589414961636066,0.41656792126595976,0.24237357489764688,2.035565146927263,0.84625,9.999000099990002e-05,0.0005999400059994001
