metric,contrast,raw_coef,raw_ci_low,raw_ci_high,raw_p,adj_coef,adj_ci_low,adj_ci_high,adj_p,shrinkage_pct,n_templates,source
ftle_final,coding - factual,-0.008099065808520867,-0.009623224609745974,-0.006574907007295761,2.12143421750115e-25,-0.00809906580852084,-0.009556595228526138,-0.006641536388515541,1.273079329255332e-27,3.4416913763379853e-13,492,legacy
ftle_final,hallucination_prone - factual,-0.0008050226144573804,-0.0024116871653784067,0.0008016419364636459,0.32607815704349974,-0.000805022614457156,-0.002331623450807645,0.0007215782218933328,0.30134749224346324,2.787770014833768e-11,492,legacy
ftle_final,reasoning - factual,-0.006705549418607312,-0.008789745326273891,-0.004621353510940732,2.8660888817265326e-10,-0.006705549418607166,-0.00870436302337354,-0.004706735813840792,4.85819093004055e-11,2.176037128265307e-12,492,legacy
expansive_frac,coding - factual,-0.007282608695651418,-0.01148142603266331,-0.003083791358639525,0.0006752263187648659,-0.007282608695651631,-0.01133532226800752,-0.0032298951232957425,0.0004283067126382736,-2.9309887850104133e-12,492,legacy
expansive_frac,hallucination_prone - factual,0.0070923913043485255,0.002738706640257266,0.011446075968439785,0.001408571200141104,0.007092391304348508,0.0025781170918062965,0.01160666551689072,0.0020748347429935896,2.4424906541753444e-13,492,legacy
expansive_frac,reasoning - factual,-0.005896739130432815,-0.012645663604331125,0.0008521853434654949,0.0868082980314886,-0.005896739130433175,-0.012521203191058103,0.0007277249301917525,0.08104515179347142,-6.106226635438361e-12,492,legacy
entropy,coding - factual,0.7303048259764799,0.5805938483090876,0.8800158036438723,1.1674105474746318e-21,0.7303048259764789,0.5803765965227521,0.8802330554302058,1.3345174137471097e-21,1.3322676295501878e-13,492,legacy
entropy,hallucination_prone - factual,1.1171009532362186,0.9686165337995174,1.2655853726729198,3.2885441147697284e-49,1.1171009532362177,0.9683936020953311,1.2658083043771042,4.561461706583206e-49,7.771561172376096e-14,492,legacy
entropy,reasoning - factual,0.5200624233111735,0.21550598819211714,0.8246188584302299,0.0008173647607495012,0.5200624233111748,0.2152140216869765,0.8249108249353732,0.000826866582219078,-2.6645352591003757e-13,492,legacy
top1_prob,coding - factual,-0.2968538129329634,-0.34128532083414653,-0.2524223050317803,3.524898223322761e-39,-0.29685381293296265,-0.3417365406158267,-0.2519710852500986,1.978767839287753e-38,2.6645352591003757e-13,492,legacy
top1_prob,hallucination_prone - factual,-0.3671637259423725,-0.41014596370553846,-0.32418148817920656,6.429406366766282e-63,-0.3671637259423709,-0.41071246644056253,-0.32361498544417927,2.438526492503907e-61,4.3298697960381105e-13,492,legacy
top1_prob,reasoning - factual,-0.16941816635429746,-0.2455713852547891,-0.09326494745380581,1.2986379725146421e-05,-0.16941816635429685,-0.24623348244763926,-0.09260285026095444,1.5409543420295725e-05,3.552713678800501e-13,492,legacy
sigma_max,coding - factual,-210.41987689845672,-293.6394979241382,-127.20025587277526,7.205295426550896e-07,-210.41987689845655,-292.5254856461045,-128.31426815080857,5.087407013813805e-07,7.771561172376096e-14,111,spectral
sigma_max,hallucination_prone - factual,-49.32995564966985,-148.80440055385327,50.14448925451358,0.33107167399434456,-49.32995564966943,-148.22157697054325,49.56166567120441,0.32822973437092606,8.548717289613705e-13,111,spectral
sigma_max,reasoning - factual,-197.3574212548382,-297.51672126231017,-97.19812124736622,0.00011247074461233293,-197.35742125483796,-283.3596912007889,-111.35515130888699,6.868867048343858e-06,1.1102230246251565e-13,111,spectral
lambda_max,coding - factual,-0.010441930905041441,-0.01412672931643098,-0.006757132493651902,2.7901552132895238e-08,-0.01044193090504137,-0.014064435317744723,-0.0068194264923380175,1.6079383244616995e-08,6.772360450213455e-13,111,spectral
lambda_max,hallucination_prone - factual,-0.0020659184670166275,-0.006479027393632443,0.0023471904595991876,0.3588690202500855,-0.0020659184670163873,-0.006462807846654163,0.002330970912621388,0.35709903322826286,1.163513729807164e-11,111,spectral
lambda_max,reasoning - factual,-0.00947445152435647,-0.014617784587776825,-0.004331118460936115,0.00030570359898947716,-0.009474451524356418,-0.013592777438205386,-0.00535612561050745,6.51300169342444e-06,5.440092820663267e-13,111,spectral
lambda_bulk_pred,coding - factual,-0.004506142207049313,-0.007250522465886182,-0.001761761948212444,0.0012901227703442908,-0.004506142207049281,-0.007251976392680173,-0.0017603080214183887,0.0012978087639109283,7.105427357601002e-13,111,spectral
lambda_bulk_pred,hallucination_prone - factual,0.0012824076570605032,-0.0015659266555718275,0.004130741969692834,0.377541059118109,0.0012824076570605123,-0.0016194393952559474,0.004184254709376972,0.38640072902082756,-7.105427357601002e-13,111,spectral
lambda_bulk_pred,reasoning - factual,-0.005402218656033084,-0.009443937751973122,-0.0013604995600930469,0.008800316071022208,-0.005402218656033075,-0.009187934845286592,-0.0016165024667795583,0.005160037661424805,1.5543122344752192e-13,111,spectral
