,sigma_max,sigma_max,lambda_max,lambda_max,lambda_bulk_pred,lambda_bulk_pred,stable_rank,stable_rank,spectral_gap,spectral_gap,participation_ratio_topk,participation_ratio_topk,leading_over_rms,leading_over_rms,conv_residual,conv_residual,entropy,entropy,top1_prob,top1_prob,chi_fisher_max,chi_fisher_max,chi_fisher_along_hidden_lead,chi_fisher_along_hidden_lead,lead_alignment,lead_alignment
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
label,,,,,,,,,,,,,,,,,,,,,,,,,,
coding,1242.61363,160.31589,0.26362,0.00481,0.08133,0.00391,2.85129,0.56388,0.65653,0.06007,2.22247,0.15615,137.82804,13.51229,0.00766,0.01127,1.83112,0.24487,0.36784,0.10911,426.9323,190.19702,230.3396,159.96925,0.38946,0.28322
factual,1060.39494,277.6676,0.25689,0.00974,0.08044,0.00543,4.04167,1.31743,0.69791,0.21343,2.33076,0.48097,118.9291,21.71965,0.00288,0.003,0.28615,0.2209,0.93635,0.06555,93.53996,81.87051,35.94788,34.03803,0.49254,0.24507
hallucination_prone,1096.37063,327.56659,0.25813,0.00912,0.08452,0.00281,4.75041,1.50338,0.74668,0.18167,2.49303,0.4818,110.66255,24.97648,0.00555,0.0078,1.73098,0.26509,0.48858,0.07154,478.63617,202.93275,326.65825,158.1615,0.7843,0.07761
reasoning,867.24556,319.75786,0.24904,0.01035,0.0792,0.00573,5.70627,1.50797,0.85309,0.04069,2.77531,0.16475,99.28539,17.90353,0.00747,0.01108,1.09465,0.12075,0.50538,0.05376,551.92481,97.69071,216.78219,113.55008,0.53652,0.22146
