metric,label_a,label_b,n_a,n_b,mean_a,mean_b,diff,cohens_d,cliffs_delta,perm_p,perm_p_holm
spectral_gap,factual,coding,40,40,0.6358959550154962,0.730555180771973,-0.09465922575647678,-0.6973249374814848,-0.35624999999999996,0.0029997000299970002,0.011998800119988001
spectral_gap,factual,reasoning,40,40,0.6358959550154962,0.6005775084641906,0.03531844655130567,0.2569838805865496,0.18375000000000008,0.24827517248275172,0.49655034496550343
spectral_gap,factual,hallucination_prone,40,40,0.6358959550154962,0.699667028036787,-0.06377107302129081,-0.45599302633924305,-0.22250000000000003,0.043995600439956005,0.131986801319868
spectral_gap,coding,reasoning,40,40,0.730555180771973,0.6005775084641906,0.12997767230778245,0.9691637078356647,0.5700000000000001,9.999000099990002e-05,0.0005999400059994001
spectral_gap,coding,hallucination_prone,40,40,0.730555180771973,0.699667028036787,0.03088815273518597,0.22614021544169743,0.1825000000000001,0.3153684631536846,0.49655034496550343
spectral_gap,reasoning,hallucination_prone,40,40,0.6005775084641906,0.699667028036787,-0.09908951957259649,-0.7166561451761365,-0.35875,0.0016998300169983002,0.0084991500849915
