metric,contrast,raw_coef,raw_ci_low,raw_ci_high,raw_p,adj_coef,adj_ci_low,adj_ci_high,adj_p,shrinkage_pct,n_templates,source
sigma_max,coding - factual,-393.503501835431,-834.4877832620018,47.48077959113982,0.08030231566017507,-393.50350183542935,-839.6596343479082,52.6526306770495,0.0838697911625114,4.218847493575595e-13,111,spectral
sigma_max,hallucination_prone - factual,415.89039021967307,-62.689448886853484,894.4702293261996,0.08852556339551829,415.8903902196776,-14.079093751978576,845.8598741913338,0.0579883299501544,-1.0880185641326534e-12,111,spectral
sigma_max,reasoning - factual,793.0836830606553,-400.5158194446491,1986.6831855659598,0.1928164788279293,793.0836830606559,-248.14055328158065,1834.3079194028924,0.13547045755080614,-6.661338147750939e-14,111,spectral
lambda_max,coding - factual,-0.0031947469466184052,-0.006974645539004668,0.0005851516457678575,0.09761059845833948,-0.003194746946618285,-0.00702437938916093,0.0006348854959243597,0.10204138918657463,3.763656053479281e-12,111,spectral
lambda_max,hallucination_prone - factual,0.003674272370586169,-0.0002157998854796818,0.00756434462665202,0.06413561940445203,0.003674272370586232,0.00017375516606450833,0.007174789575107955,0.03966211564064332,-1.709743457922741e-12,111,spectral
lambda_max,reasoning - factual,0.0062587403678885135,-0.0036040250464632155,0.016121505782240243,0.2135881823965613,0.006258740367888577,-0.0021577030076228255,0.014675183743399978,0.14498039450989672,-1.021405182655144e-12,111,spectral
lambda_bulk_pred,coding - factual,-0.0004918975390294362,-0.002683448089997437,0.0016996530119385645,0.659996853695688,-0.0004918975390293633,-0.002753530330368132,0.001769735252309405,0.6698997594247177,1.483257960899209e-11,111,spectral
lambda_bulk_pred,hallucination_prone - factual,0.004825981770011617,0.0027394333393387094,0.006912530200684525,5.809555634633446e-06,0.004825981770011641,0.002733292513181279,0.006918671026842004,6.186824951583454e-06,-5.10702591327572e-13,111,spectral
lambda_bulk_pred,reasoning - factual,0.004093949448534032,-0.0007090975449307001,0.008896996441998765,0.09479975917431896,0.004093949448534049,-0.0002592592984443365,0.008447158195512434,0.06529448053027789,-3.9968028886505635e-13,111,spectral
stable_rank,coding - factual,0.47051624271948017,-0.0004157820239305554,0.9414482674628909,0.05020261421848032,0.4705162427194811,0.009039410414116544,0.9319930750248457,0.04567810335987589,-1.9984014443252818e-13,111,spectral
