metric,label_a,label_b,n_a,n_b,mean_a,mean_b,diff,cohens_d,cliffs_delta,perm_p,perm_p_holm
sigma_max,factual,coding,40,40,4840.377630889352,4446.874129053923,393.50350183542923,0.3915645958622325,0.2137500000000001,0.07789221077892211,0.23367663233676633
sigma_max,factual,reasoning,40,40,4840.377630889352,5633.461313950007,-793.083683060655,-0.6692284652810644,-0.38249999999999995,0.0033996600339966003,0.013598640135986401
sigma_max,factual,hallucination_prone,40,40,4840.377630889352,5256.268021109028,-415.8903902196762,-0.37926290678380387,-0.22750000000000004,0.09199080091990801,0.23367663233676633
sigma_max,coding,reasoning,40,40,4446.874129053923,5633.461313950007,-1186.5871848960842,-1.1089557838473256,-0.53625,9.999000099990002e-05,0.0005999400059994001
sigma_max,coding,hallucination_prone,40,40,4446.874129053923,5256.268021109028,-809.3938920551054,-0.8335007983195617,-0.46499999999999997,0.0005999400059994001,0.0029997000299970002
sigma_max,reasoning,hallucination_prone,40,40,5633.461313950007,5256.268021109028,377.19329284097876,0.32615482429593906,0.21750000000000003,0.1484851514848515,0.23367663233676633
