metric,label_a,label_b,n_a,n_b,mean_a,mean_b,diff,cohens_d,cliffs_delta,perm_p,perm_p_holm
chi_fisher_along_hidden_lead,factual,coding,40,40,500.53242746319876,478.79799057427573,21.734436888923028,0.04037540239106399,-0.24375000000000002,0.8635136486351365,0.8635136486351365
chi_fisher_along_hidden_lead,factual,reasoning,40,40,500.53242746319876,370.19327734105,130.33915012214874,0.27471579554018594,-0.16625,0.23637636236376364,0.4727527247275273
chi_fisher_along_hidden_lead,factual,hallucination_prone,40,40,500.53242746319876,1624.841541388744,-1124.3091139255453,-0.725798564304342,-0.605,9.999000099990002e-05,0.0005999400059994001
chi_fisher_along_hidden_lead,coding,reasoning,40,40,478.79799057427573,370.19327734105,108.60471323322571,0.3308907187887869,0.06875000000000009,0.14288571142885712,0.4286571342865714
chi_fisher_along_hidden_lead,coding,hallucination_prone,40,40,478.79799057427573,1624.841541388744,-1146.0435508144683,-0.7586155711816907,-0.59375,9.999000099990002e-05,0.0005999400059994001
chi_fisher_along_hidden_lead,reasoning,hallucination_prone,40,40,370.19327734105,1624.841541388744,-1254.6482640476938,-0.8425291197493585,-0.65875,9.999000099990002e-05,0.0005999400059994001
